pair,pixel,fourier,curvature,centroid,texture,total
4.right - 12.left,0.3419001,0.45819797688216996,0.8097016339749337,0.23194826125596646,0.2692210600104578,0.36415446668143675
4.bottom - 12.top,0.33195612,0.3305618745812254,0.9752130607976962,0.21587699209751696,0.29561418569969944,0.3545413825738389
4.right - 13.left,0.27492997,0.30570357482994104,0.8441403110014677,0.2586623553735335,0.3011815346766857,0.3082796146807134
4.bottom - 13.top,0.37079832,0.5181395334068856,0.8119200162341588,0.41525755492741917,0.30495873407436613,0.40322753199115585
4.right - 14.left,0.15838002,0.3459214667132685,0.9292555086550484,0.20259079853254539,0.3221639617605881,0.23426686839582175
4.bottom - 14.top,0.34302053,0.5395912325583114,0.8330395121778404,0.41410770096262894,0.39209610280954443,0.39564045524155383
4.right - 15.left,0.12140523,0.15460128528161504,0.8393105351484998,0.15896278066030792,0.30546799062349494,0.180904255151772
4.bottom - 15.top,0.34136322,0.4546020196600847,0.7971871129833724,0.4894700274579487,0.31624107916928934,0.3803714129491624
5.right - 0.left,0.19563493,0.26092312732716233,0.9441180418392197,0.3853397456575285,0.3220600441565403,0.2617156495106497
5.bottom - 0.top,0.37196544,0.30737147242704566,1.0,0.5079616460616334,0.3337538725244766,0.3998864145467995
5.right - 1.left,0.29817927,0.28222455766256777,1.0,0.3353617685470324,0.32763020104699925,0.33647904652372645
5.bottom - 1.top,0.3475957,0.509812205243642,0.8375659660135468,0.5116461950216034,0.3189843348624542,0.39365724027853843
5.right - 2.left,0.24932307,0.15491706806019592,1.0,0.17759064705963207,0.23816321634478343,0.2727137008872829
5.bottom - 2.top,0.5919001,0.3038149015853144,1.0,0.4380170130905623,0.332452921331613,0.5498576981966176
5.right - 3.left,0.17836134,0.12914226022393016,0.8844410207125561,0.23034659005848795,0.3383179913801473,0.22733834613913786
5.bottom - 3.top,0.3860644,0.5334131052532466,1.0,0.38669426901293424,0.293735848450192,0.4222946840468206
5.right - 4.left,0.28639123,0.19054513415744576,0.8551853557182377,0.1785276284386217,0.33648396984042117,0.30486241951382625
5.bottom - 4.top,0.5883754,0.4839853763849434,0.9725621728382092,0.46879118163605576,0.33624251443127934,0.5659532175875774
5.right - 6.left,0.27261907,0.2423063007564269,0.9846560610187186,0.18750131952502122,0.33290496167743816,0.3069623403261536
5.bottom - 6.top,0.4961718,0.4487411494882677,0.9945544887568374,0.3100543696663493,0.3565231119612978,0.493077127683517
5.right - 7.left,0.25613913,0.20354006447507197,0.9181350154320493,0.18040748402952475,0.3855318753166954,0.2931317065522005
5.bottom - 7.top,0.5548553,0.4880201947263227,1.0,0.4260502233921156,0.35736482966423894,0.5442397205216563
5.right - 8.left,0.2937675,0.14382589107653318,0.9015477787695392,0.35495603390762354,0.4229626601722613,0.3251413070302144
5.bottom - 8.top,0.4722222,0.46964081629957977,1.0,0.3687604343072284,0.3291352785258469,0.4788711596002325
5.right - 9.left,0.28158265,0.1637744873963527,0.8541773012766303,0.1855289102026692,0.33749956551366556,0.2992205673702463
5.bottom - 9.top,0.564986,0.4022059351369859,0.9980264403492559,0.4862710961913837,0.3444599427296048,0.5443716639411599
5.right - 10.left,0.112791784,0.19777552026353948,0.9697993711859848,0.2764874189184919,0.3796683534021059,0.199012976492226
5.bottom - 10.top,0.50193745,0.42335246998069104,0.7852525776641209,0.3755710652338695,0.3348196417178044,0.48521460163918145
5.right - 11.left,0.28937906,0.1413678860799651,0.9921773046960496,0.17567632328368335,0.3353778033987978,0.3086325925347444
5.bottom - 11.top,0.6438609,0.29895512333831437,0.9082803039606784,0.48258510577354974,0.37949492715691346,0.5880908831679176
